Sentence,Label
I have three assignments due tomorrow and no time to finish them.,stress
Exams are approaching and I feel completely unprepared.,stress
I can't balance my part-time job and studies anymore.,stress
Group projects make me anxious because no one contributes equally.,stress
I often stay up all night just to keep up with deadlines.,stress
The pressure to get good grades is overwhelming.,stress
I feel exhausted from back-to-back lectures and labs.,stress
Managing both internships and coursework is too much.,stress
I am stressed about my future career and whether I'll get placed.,stress
Missing one lecture feels like falling behind completely.,stress
My financial problems make it hard to focus on studies.,stress
I feel homesick and lonely in the hostel.,stress
I get anxious before every presentation.,stress
The syllabus is too vast to cover before exams.,stress
I feel burnt out by continuous online classes.,stress
Peer pressure to excel makes me nervous.,stress
My sleep schedule is completely ruined by study load.,stress
I worry constantly about disappointing my parents.,stress
It's difficult to manage extracurricular activities with academics.,stress
I feel stressed when I compare myself to other students.,stress
The internship deadlines overlap with my semester exams.,stress
I feel nervous whenever the professor announces a surprise quiz.,stress
Keeping track of multiple projects is draining my energy.,stress
I am always anxious during lab submissions.,stress
There's too much competition for limited placements.,stress
I often skip meals to complete assignments on time.,stress
My grades are slipping despite studying hard.,stress
I feel overwhelmed when professors assign too many tasks at once.,stress
Excessive screen time during online classes gives me headaches.,stress
I panic when I cannot understand a topic before exams.,stress
I'm constantly worried about my attendance shortage.,stress
Preparing for competitive exams along with college is stressful.,stress
Balancing club activities and studies leaves me exhausted.,stress
I feel mentally drained after continuous study sessions.,stress
Staying in hostel makes it harder to focus on academics.,stress
I feel pressure when my peers score better marks.,stress
Family expectations make it difficult for me to relax.,stress
Daily commute to college consumes too much energy.,stress
I feel insecure about my performance in group discussions.,stress
I worry when I don't participate actively in class.,stress
Managing deadlines for coding contests is stressful.,stress
I often forget things due to too much workload.,stress
Late-night study sessions make me tired all day.,stress
The constant notifications from class groups make me anxious.,stress
Submitting projects online is confusing and stressful.,stress
I feel nervous about viva examinations.,stress
My lack of concentration wastes study hours.,stress
Balancing hobbies with academics feels impossible.,stress
I feel tense when professors criticize my work.,stress
Time management has become my biggest struggle.,stress
I enjoy studying with friends in the library.,calm
Going for a walk after class helps me relax.,calm
I feel motivated when I organize my study schedule.,calm
Meditation sessions at the campus keep me calm.,calm
I like participating in cultural events for fun.,calm
Spending weekends with my hostel friends is refreshing.,calm
I feel peaceful when I listen to music after studying.,calm
Playing sports helps me manage academic pressure.,calm
I enjoy attending guest lectures on topics I love.,calm
My professors are supportive and approachable.,calm
I feel relaxed when I sketch during free time.,calm
The campus garden is my favorite place to unwind.,calm
Having a balanced daily routine makes me happy.,calm
I feel positive after finishing my assignments early.,calm
Volunteering in college fests gives me joy.,calm
I enjoy evening tea breaks with my classmates.,calm
Practicing yoga helps me feel more centered.,calm
I feel proud when I help juniors with their doubts.,calm
Attending music club practice makes me cheerful.,calm
I stay calm when I plan ahead for exams.,calm
I enjoy morning jogs around the campus track.,calm
Cooking with friends in the hostel makes me happy.,calm
I feel good when I participate in debate competitions.,calm
Playing guitar relaxes me after lectures.,calm
I like visiting the campus library during quiet hours.,calm
I feel recharged after a weekend trip with friends.,calm
Meditation before exams helps me stay confident.,calm
Participating in hackathons excites me.,calm
I feel energized after a gym session at college.,calm
Attending motivational seminars inspires me.,calm
Gardening in the hostel courtyard is soothing.,calm
I enjoy painting during free periods.,calm
Laughing with friends in the canteen keeps me stress-free.,calm
I like exploring new hobbies with classmates.,calm
I feel content when I get proper sleep.,calm
Casual football matches on weekends are fun.,calm
Listening to podcasts helps me stay calm.,calm
Group study sessions make learning enjoyable.,calm
Watching movies in the hostel common room relaxes me.,calm
I enjoy photography around the campus.,calm
I feel light after sharing my thoughts with a counselor.,calm
Dancing at college events lifts my spirits.,calm
I love reading novels in my free time.,calm
Singing with my friends makes me cheerful.,calm
I stay peaceful by writing a daily journal.,calm
Volunteering for social causes makes me feel good.,calm
I enjoy long bike rides with friends.,calm
Practicing mindfulness helps me control anxiety.,calm
I feel accomplished when I finish tasks early.,calm
Friendly interactions with teachers make me happy.,calm
Sometimes I feel the pressure to succeed is too much to handle.,stress
Homesickness makes it difficult for me to concentrate on my studies.,stress
I constantly feel anxious before exam season starts.,stress
Balancing social life and academics is exhausting.,stress
I often cry because the workload feels unmanageable.,stress
The lack of proper guidance stresses me out.,stress
It feels like I am always running behind deadlines.,stress
Being away from family support makes me anxious.,stress
I feel I have no time to rest with my packed schedule.,stress
The competition in my class makes me insecure.,stress
Uncertainty about the future keeps me awake at night.,stress
I panic whenever the teacher asks me a direct question.,stress
It's hard to manage finances along with studies.,stress
I feel left out when I fail to match my peer's achievements.,stress
Continuous online assessments leave me drained.,stress
I cannot sleep properly during exam weeks.,stress
Group study sometimes adds to my anxiety instead of reducing it.,stress
Being compared to toppers makes me lose confidence.,stress
Even small mistakes make me nervous about failing.,stress
I often avoid social events because of stress from academics.,stress
Too much screen time gives me constant headaches.,stress
I'm scared of disappointing my mentors.,stress
Last-minute project submissions leave me panicked.,stress
I feel isolated when I cannot share my struggles.,stress
Sometimes I think I'm not capable enough to handle studies.,stress
My focus shifts constantly under stress.,stress
The competition for internships feels endless.,stress
I feel anxious when I hear about placements from seniors.,stress
My mind goes blank in exams even when I study hard.,stress
It is stressful to manage family expectations along with studies.,stress
I get tense when professors don't explain concepts clearly.,stress
I'm afraid of falling behind in class participation.,stress
Balancing part-time jobs makes me feel burned out.,stress
Uncertainty about results keeps me on edge.,stress
I often feel overloaded with back-to-back tests.,stress
"Cultural activities clash with my exam preparation, causing stress.",stress
Fear of rejection makes me avoid opportunities.,stress
Juggling between competitive exams and college drains me.,stress
I feel helpless when I cannot keep up with coursework.,stress
I'm worried about my student loan repayment.,stress
It is exhausting to meet deadlines for assignments and projects.,stress
I often feel fatigued even after long hours of sleep.,stress
Peer comparisons make me feel I am not good enough.,stress
I feel nervous whenever I see the exam timetable.,stress
Presentations in front of large crowds terrify me.,stress
There are too many distractions to focus on studies.,stress
The pressure to publish research papers is overwhelming.,stress
The uncertainty of results makes me stressed.,stress
My day ends with anxiety instead of peace.,stress
Academic pressure makes me forget to take care of myself.,stress
I feel refreshed after spending time in the campus park.,calm
Playing badminton with friends keeps me happy.,calm
Weekend hostel trips are the best stress-busters.,calm
I love attending music nights at college.,calm
Quiet evenings in the library help me focus.,calm
I feel motivated after attending counseling sessions.,calm
Sharing my problems with friends keeps me calm.,calm
Listening to classical music helps me relax after class.,calm
I enjoy participating in poetry competitions.,calm
I feel lighter after journaling my thoughts.,calm
Campus festivals bring me so much joy.,calm
Practicing breathing exercises before exams keeps me composed.,calm
I love playing chess in the common room.,calm
Evening strolls around the hostel are relaxing.,calm
Helping juniors with their projects gives me satisfaction.,calm
Watching the sunset from the campus terrace makes me calm.,calm
I enjoy small celebrations with my hostel mates.,calm
I feel proud when my friends appreciate my work.,calm
Attending workshops on self-growth inspires me.,calm
Spending time in the art room is very peaceful.,calm
I love sipping tea and chatting with friends after class.,calm
Taking part in theatre practice excites me.,calm
Gardening at home during breaks keeps me stress-free.,calm
I feel relaxed when I pray in the college temple.,calm
Attending dance practice cheers me up.,calm
I love watching cricket matches with my classmates.,calm
The support from my professors gives me confidence.,calm
Playing the piano soothes my mind.,calm
Joining yoga classes has improved my focus.,calm
I feel motivated after reading inspirational books.,calm
The student counseling center helps me stay calm.,calm
Weekend sports tournaments are refreshing.,calm
Laughing with friends over silly jokes keeps me stress-free.,calm
I love going for night walks in the hostel campus.,calm
I enjoy painting murals during free hours.,calm
Participating in college clubs makes me feel connected.,calm
I like helping in charity drives organized by students.,calm
Photography around campus keeps me cheerful.,calm
I feel positive after attending guest lectures.,calm
Meditating in the morning makes me feel balanced.,calm
I enjoy trying out new recipes with hostel friends.,calm
Camping trips with classmates are so much fun.,calm
I feel calm when I spend time with my mentor.,calm
Playing board games with friends helps me relax.,calm
I enjoy reading novels under a tree in the park.,calm
Volunteering at blood donation camps gives me joy.,calm
Listening to motivational talks keeps me inspired.,calm
Cycling around campus is refreshing.,calm
Group singing practice makes me cheerful.,calm
Casual hangouts in the canteen lighten my mood.,calm
